season,scheme,state_name,district_name,area_insured,sum_insured,farmer_share,goi_share,state_share,iu_count,gross_premium
kharif,WBCIS,Karnataka,Haveri,0,0.0364,0.0018,0.0048,0.0048,357,0.01
kharif,WBCIS,Karnataka,,0,0.0021,0.0001,0.0001,0.0001,676,0
kharif,WBCIS,Karnataka,Kodagu,0,0.008,0.0004,0.0004,0.0004,165,0
kharif,WBCIS,Karnataka,Kolar,0,0.0192,0.001,0.0034,0.0034,157,0.01
kharif,WBCIS,Karnataka,Koppal,0,0.0098,0.0005,0.0011,0.0011,849,0
kharif,WBCIS,Karnataka,Mandya,0,0,0,0,0,201,0
kharif,WBCIS,Karnataka,Mysuru,0,0.0001,0,0,0,195,0
kharif,WBCIS,Karnataka,Raichur,0,0.0026,0.0001,0.0003,0.0003,262,0
kharif,WBCIS,Karnataka,Ramanagara,0,0.0023,0.0001,0.0002,0.0002,129,0
kharif,WBCIS,Karnataka,Shivamogga,0.01,0.0737,0.0037,0.0103,0.0103,564,0.02
kharif,WBCIS,Karnataka,Tumakuru,0.01,0.1129,0.0056,0.0095,0.0095,889,0.02
kharif,WBCIS,Karnataka,Udupi,0,0.0108,0.0005,0.0019,0.0019,300,0
kharif,WBCIS,Karnataka,,0.02,0.1941,0.0097,0.0267,0.0267,319,0.06
kharif,WBCIS,Karnataka,Vijayapura,0.01,0.1872,0.0097,0.0188,0.0188,594,0.05
kharif,WBCIS,Karnataka,,0,0.0011,0.0001,0.0001,0.0001,44,0
kharif,PMFBY,Kerala,Alappuzha,6.11,3258.61,65.33,63.98,63.98,63,193.29
kharif,PMFBY,Kerala,Ernakulam,0.1,321.59,8.16,0,0,36,8.16
kharif,PMFBY,Kerala,Idukki,0.03,138.82,2.78,0,0,16,2.78
kharif,PMFBY,Kerala,Kannur,0.02,84.7,2.2,0,0,16,2.2
kharif,PMFBY,Kerala,Kasaragod,0.01,29.82,0.599,0,0,11,0.6
kharif,PMFBY,Kerala,Kollam,0.05,154.97,3.1,0,0,34,3.1
kharif,PMFBY,Kerala,Kottayam,0.26,250.49,5.03,0.9623,0.9623,26,6.95
kharif,PMFBY,Kerala,Kozhikode,0.01,31.91,1.02,0,0,9,1.02
kharif,PMFBY,Kerala,Malappuram,0.02,63.01,1.26,0,0,30,1.26
kharif,PMFBY,Kerala,Palakkad,0.26,845.33,21.13,0,0,62,21.13
kharif,PMFBY,Kerala,Pathanamthitta,0.07,155.94,3.24,1.52,1.52,23,6.28
kharif,PMFBY,Kerala,Thiruvananthapuram,0.02,125.41,3.24,0,0,25,3.24
kharif,PMFBY,Kerala,Thrissur,0.04,142.12,3.69,0,0,31,3.69
kharif,PMFBY,Kerala,Wayanad,0.02,58.85,1.53,0,0,13,1.53
kharif,WBCIS,Kerala,Ernakulam,0.08,34.81,1.72,0.832,0.832,23,3.38
kharif,WBCIS,Kerala,Idukki,1.15,522.94,21.78,3.13,3.13,43,28.04
kharif,WBCIS,Kerala,Kannur,0.04,22.74,1.13,1.52,1.52,30,4.17
kharif,WBCIS,Kerala,Kasaragod,0.56,279.48,13.97,20.39,20.39,34,54.75
kharif,WBCIS,Kerala,Kollam,0.02,18.62,0.8758,0.9294,0.9294,14,2.73
kharif,WBCIS,Kerala,Kottayam,0.28,97.13,4.86,1.48,1.48,13,7.82
kharif,WBCIS,Kerala,Kozhikode,0.04,22.14,1.11,1.17,1.17,11,3.45
kharif,WBCIS,Kerala,Malappuram,0.03,25.7,1.29,0.8655,0.8655,16,3.02
kharif,WBCIS,Kerala,Palakkad,10.71,5388.6,110.9,386.66,386.66,74,884.22
kharif,WBCIS,Kerala,Thiruvananthapuram,0.01,8.27,0.4133,0.2893,0.2893,3,0.99
