season,scheme,state_name,district_name,area_insured,sum_insured,farmer_share,goi_share,state_share,iu_count
kharif,PMFBY,Karnataka,Mandya,0.01,0.0378,0.001,0.0024,0.0024,763
kharif,PMFBY,Karnataka,Mysuru,0,0.0076,0.0003,0.0003,0.0003,911
kharif,PMFBY,Karnataka,Raichur,0.15,0.6336,0.0156,0.0362,0.0362,1063
kharif,PMFBY,Karnataka,Ramanagara,0,0.0027,0.0001,0.0001,0.0001,340
kharif,PMFBY,Karnataka,Shivamogga,0.01,0.1021,0.0022,0.0044,0.0044,647
kharif,PMFBY,Karnataka,Tumakuru,0.07,0.2803,0.0059,0.0318,0.0318,760
kharif,PMFBY,Karnataka,Udupi,0,0.0032,0.0001,0,0,254
kharif,PMFBY,Karnataka,Vijayapura,0.26,0.9534,0.0183,0.0752,0.0752,1261
kharif,WBCIS,Karnataka,Ballari,0,0.006,0.0003,0.0009,0.0009,367
kharif,WBCIS,Karnataka,Belagavi,0,0.0804,0.004,0.0064,0.0064,752
kharif,WBCIS,Karnataka,Bengaluru Rural,0,0.0024,0.0001,0.0003,0.0003,176
kharif,WBCIS,Karnataka,Bengaluru Urban,0,0.0007,0,0.0001,0.0001,130
kharif,WBCIS,Karnataka,Bidar,0,0.0009,0,0.0001,0.0001,430
kharif,WBCIS,Karnataka,Chikkamagaluru,0.01,0.0978,0.0049,0.0134,0.0134,605
kharif,WBCIS,Karnataka,Chitradurga,0,0.0276,0.0014,0.0059,0.0059,425
kharif,WBCIS,Karnataka,Dakshina Kannada,0,0.0581,0.0029,0.0099,0.0099,477
kharif,WBCIS,Karnataka,Davangere,0.01,0.0769,0.0038,0.0096,0.0096,393
kharif,WBCIS,Karnataka,Dharwad,0.01,0.0487,0.0024,0.0053,0.0053,156
kharif,WBCIS,Karnataka,Gadag,0,0.0011,0.0001,0.0001,0.0001,102
kharif,WBCIS,Karnataka,Haveri,0,0.0364,0.0018,0.0048,0.0048,357
kharif,WBCIS,Karnataka,Kodagu,0,0.008,0.0004,0.0004,0.0004,165
kharif,WBCIS,Karnataka,Kolar,0,0.0192,0.001,0.0034,0.0034,157
kharif,WBCIS,Karnataka,Koppal,0,0.0098,0.0005,0.0011,0.0011,849
kharif,WBCIS,Karnataka,Mandya,0,0,0,0,0,201
kharif,WBCIS,Karnataka,Mysuru,0,0.0001,0,0,0,195
kharif,WBCIS,Karnataka,Raichur,0,0.0026,0.0001,0.0003,0.0003,262
kharif,WBCIS,Karnataka,Ramanagara,0,0.0023,0.0001,0.0002,0.0002,129
kharif,WBCIS,Karnataka,Shivamogga,0.01,0.0737,0.0037,0.0103,0.0103,564
kharif,WBCIS,Karnataka,Tumakuru,0.01,0.1129,0.0056,0.0095,0.0095,889
kharif,WBCIS,Karnataka,Udupi,0,0.0108,0.0005,0.0019,0.0019,300
kharif,WBCIS,Karnataka,Vijayapura,0.01,0.1872,0.0097,0.0188,0.0188,594
kharif,PMFBY,Kerala,Alappuzha,6.11,3258.61,65.33,63.98,63.98,63
kharif,PMFBY,Kerala,Ernakulam,0.1,321.59,8.16,0,0,36
kharif,PMFBY,Kerala,Idukki,0.03,138.82,2.78,0,0,16
kharif,PMFBY,Kerala,Kannur,0.02,84.7,2.2,0,0,16
kharif,PMFBY,Kerala,Kasaragod,0.01,29.82,0.599,0,0,11
kharif,PMFBY,Kerala,Kollam,0.05,154.97,3.1,0,0,34
kharif,PMFBY,Kerala,Kottayam,0.26,250.49,5.03,0.9623,0.9623,26
kharif,PMFBY,Kerala,Kozhikode,0.01,31.91,1.02,0,0,9
kharif,PMFBY,Kerala,Malappuram,0.02,63.01,1.26,0,0,30
kharif,PMFBY,Kerala,Palakkad,0.26,845.33,21.13,0,0,62
kharif,PMFBY,Kerala,Pathanamthitta,0.07,155.94,3.24,1.52,1.52,23
kharif,PMFBY,Kerala,Thiruvananthapuram,0.02,125.41,3.24,0,0,25
kharif,PMFBY,Kerala,Thrissur,0.04,142.12,3.69,0,0,31
kharif,PMFBY,Kerala,Wayanad,0.02,58.85,1.53,0,0,13
kharif,WBCIS,Kerala,Ernakulam,0.08,34.81,1.72,0.832,0.832,23
kharif,WBCIS,Kerala,Idukki,1.15,522.94,21.78,3.13,3.13,43
kharif,WBCIS,Kerala,Kannur,0.04,22.74,1.13,1.52,1.52,30
kharif,WBCIS,Kerala,Kasaragod,0.56,279.48,13.97,20.39,20.39,34
kharif,WBCIS,Kerala,Kollam,0.02,18.62,0.8758,0.9294,0.9294,14
kharif,WBCIS,Kerala,Kottayam,0.28,97.13,4.86,1.48,1.48,13
kharif,WBCIS,Kerala,Kozhikode,0.04,22.14,1.11,1.17,1.17,11
kharif,WBCIS,Kerala,Malappuram,0.03,25.7,1.29,0.8655,0.8655,16
kharif,WBCIS,Kerala,Palakkad,10.71,5388.6,110.9,386.66,386.66,74
kharif,WBCIS,Kerala,Thiruvananthapuram,0.01,8.27,0.4133,0.2893,0.2893,3
kharif,WBCIS,Kerala,Thrissur,0.21,107.62,2.61,4.78,4.78,61
kharif,WBCIS,Kerala,Wayanad,0.48,326.41,16.2,9.26,9.26,25
kharif,PMFBY,Madhya Pradesh,Agar Malwa,135.97,65255.52,1305.11,5871.37,5871.37,239
kharif,PMFBY,Madhya Pradesh,Alirajpur,31.95,9178.08,197.98,158.79,158.79,219
kharif,PMFBY,Madhya Pradesh,Anuppur,20.38,4280.34,85.61,318.15,318.15,272
kharif,PMFBY,Madhya Pradesh,Ashoknagar,119.57,38080.55,761.61,804.22,804.22,318
kharif,PMFBY,Madhya Pradesh,Balaghat,110.23,37940.78,758.82,489.44,489.44,684
kharif,PMFBY,Madhya Pradesh,Barwani,61.61,21352.03,657.61,392.44,392.44,315
kharif,PMFBY,Madhya Pradesh,Betul,230.99,77553.06,1551.06,6963.84,6963.84,570
kharif,PMFBY,Madhya Pradesh,Bhind,32.21,4918.59,98.37,32.6,32.6,211
kharif,PMFBY,Madhya Pradesh,Bhopal,111.18,36709.24,734.18,3218.37,3218.37,191
kharif,PMFBY,Madhya Pradesh,Burhanpur,7.61,3421.32,92.78,54.51,54.51,64
kharif,PMFBY,Madhya Pradesh,Chhatarpur,69.56,18085.39,361.71,471.46,471.46,139
kharif,PMFBY,Madhya Pradesh,Chhindwara,105.19,27795.76,681.1,2560.71,2560.71,718
kharif,PMFBY,Madhya Pradesh,Damoh,111.83,27227.04,544.54,1518.98,1518.98,388
kharif,PMFBY,Madhya Pradesh,Datia,61.87,24237.97,484.76,335.15,335.15,88
kharif,PMFBY,Madhya Pradesh,Dewas,438.99,139984.24,2802.93,12522.35,12522.35,518
kharif,PMFBY,Madhya Pradesh,Dhar,268.14,88263.44,1865.53,3545.09,3545.09,657
kharif,PMFBY,Madhya Pradesh,Dindori,14.73,3560.1,71.2,193.4,193.4,342
kharif,PMFBY,Madhya Pradesh,Guna,155.45,51094.51,1021.89,3413.22,3413.22,435
kharif,PMFBY,Madhya Pradesh,Gwalior,37.65,11378.99,227.58,467.96,467.96,246
kharif,PMFBY,Madhya Pradesh,Harda,173,60320.74,1206.41,6879.3,6879.3,198
kharif,PMFBY,Madhya Pradesh,Indore,176.99,70797.37,1415.95,4601.83,4601.83,331
kharif,PMFBY,Madhya Pradesh,Jabalpur,59.36,18483.7,369.67,1438.88,1438.88,438
kharif,PMFBY,Madhya Pradesh,Jhabua,41.74,13811.56,309.89,459.88,459.88,344
kharif,PMFBY,Madhya Pradesh,Katni,45.07,15068.56,301.37,250.35,250.35,392
kharif,PMFBY,Madhya Pradesh,Mandla,27.89,7149.04,142.98,113.06,113.06,457
kharif,PMFBY,Madhya Pradesh,Mandsaur,221.82,119542.48,2390.85,6202.69,6202.69,449
kharif,PMFBY,Madhya Pradesh,Morena,22.52,5583.52,111.67,183.54,183.54,458
kharif,PMFBY,Madhya Pradesh,Neemuch,114.22,61599.21,1231.98,3077.48,3077.48,250
kharif,PMFBY,Madhya Pradesh,Panna,38.4,8324.69,166.69,421.07,421.07,223
kharif,PMFBY,Madhya Pradesh,Raisen,325.93,95797.61,1915.95,4941.39,4941.39,496
kharif,PMFBY,Madhya Pradesh,Rajgarh,410.91,143706.47,2874.13,12927.11,12927.11,637
kharif,PMFBY,Madhya Pradesh,Ratlam,156.78,81429.51,1631.18,5278.67,5278.67,432
kharif,PMFBY,Madhya Pradesh,Rewa,50.02,12898.85,257.98,698.42,698.42,455
kharif,PMFBY,Madhya Pradesh,Sagar,318.01,93816.64,1876.33,8242.01,8242.01,761
kharif,PMFBY,Madhya Pradesh,Satna,62.72,20427.83,408.56,1331.88,1331.88,572
kharif,PMFBY,Madhya Pradesh,Sehore,405.79,154892.28,3097.85,14341.4,14341.4,504
kharif,PMFBY,Madhya Pradesh,Seoni,153.96,41144.94,822.9,2078.33,2078.33,627
kharif,PMFBY,Madhya Pradesh,Shahdol,27.02,5785.23,115.7,302.85,302.85,388
kharif,PMFBY,Madhya Pradesh,Shajapur,259.79,124629.1,2492.58,9587.21,9587.21,256
kharif,PMFBY,Madhya Pradesh,Sheopur,37.02,14230.74,284.61,552.13,552.13,217
kharif,PMFBY,Madhya Pradesh,Shivpuri,115,35152.23,703.04,1607.7,1607.7,348
kharif,PMFBY,Madhya Pradesh,Sidhi,6.6,2491.84,49.84,60.74,60.74,322
kharif,PMFBY,Madhya Pradesh,Singrauli,2.47,746.56,14.93,39,39,199
kharif,PMFBY,Madhya Pradesh,Tikamgarh,37.54,9553.93,191.08,221.15,221.15,86
kharif,PMFBY,Madhya Pradesh,Ujjain,438.67,206116.41,4122.33,17514.09,17514.09,628
kharif,PMFBY,Madhya Pradesh,Umaria,18.5,4004.94,80.1,243.79,243.79,145
kharif,PMFBY,Madhya Pradesh,Vidisha,506.47,159810.4,3196.21,13984.64,13984.64,584
kharif,WBCIS,Madhya Pradesh,Agar Malwa,2.13,1744.33,87.22,69.3,69.3,9
kharif,WBCIS,Madhya Pradesh,Alirajpur,0.3,202.4,10.12,1.01,1.01,6
kharif,WBCIS,Madhya Pradesh,Anuppur,0.01,4.91,0.2457,0.7272,0.7272,8
kharif,WBCIS,Madhya Pradesh,Ashoknagar,0,1.3,0.0648,0.0678,0.0678,3
kharif,WBCIS,Madhya Pradesh,Barwani,4.09,3066.66,153.33,66.25,66.25,9
kharif,WBCIS,Madhya Pradesh,Betul,0.24,168.27,8.41,2.13,2.13,19
kharif,WBCIS,Madhya Pradesh,Bhind,0,0.9127,0.0456,0.0144,0.0144,12
kharif,WBCIS,Madhya Pradesh,Bhopal,0.01,5.02,0.2508,0.4898,0.4898,3
kharif,WBCIS,Madhya Pradesh,Burhanpur,22.08,33083.46,1654.17,1306.03,1306.03,6
kharif,WBCIS,Madhya Pradesh,Chhatarpur,0,0.8999,0.045,0.0582,0.0582,4
kharif,WBCIS,Madhya Pradesh,Chhindwara,2.33,1823.88,91.19,51.88,51.88,22
kharif,WBCIS,Madhya Pradesh,Datia,0.01,3.54,0.177,0.0885,0.0885,4
kharif,WBCIS,Madhya Pradesh,Dewas,0.05,34.66,1.73,1.68,1.68,10
kharif,WBCIS,Madhya Pradesh,Dhar,14.73,10345.11,517.26,282.1,282.1,18
kharif,WBCIS,Madhya Pradesh,Guna,0.01,3.51,0.1754,0.1606,0.1606,3
kharif,WBCIS,Madhya Pradesh,Gwalior,0.02,14.33,0.7164,0.153,0.153,13
kharif,WBCIS,Madhya Pradesh,Harda,0,1.42,0.0711,0.0078,0.0078,2
kharif,WBCIS,Madhya Pradesh,Indore,0.12,78.86,3.94,11.91,11.91,8
kharif,WBCIS,Madhya Pradesh,Jabalpur,0.01,3.3,0.165,0.0677,0.0677,10
kharif,WBCIS,Madhya Pradesh,Jhabua,3.36,2177.12,108.86,41.94,41.94,7
kharif,WBCIS,Madhya Pradesh,Katni,0.02,15.66,0.7831,0.2972,0.2972,9
